id,name,country,primaryRole,image_url
unk_her_tyler,HER Tyler,Philippines,Batsman,
unk_m_podosky,M Podosky,Philippines,Batsman,
unk_dc_smith,DC Smith,Philippines,Batsman,
unk_kda_lukies,KDA Lukies,Philippines,Fast Bowler,
unk_gr_russ,GR Russ,Philippines,WK-Bat,
unk_huzaifa_mohammed,Huzaifa Mohammed,Philippines,Fast Bowler,
unk_as_samra,AS Samra,Philippines,Batsman,
unk_asf_sirah,ASF Sirah,Philippines,Fast Bowler,
unk_g_chohan,G Chohan,Philippines,Batsman,
unk_lj_myott,LJ Myott,Philippines,Fast Bowler,
unk_n_tanner,N Tanner,Philippines,Batsman,
unk_j_tuffin,J Tuffin,Philippines,Batsman,
unk_a_donovan,A Donovan,Philippines,Batsman,
unk_rhys_burinaga,Rhys Burinaga,Philippines,Batsman,
unk_j_alegra,J Alegra,Philippines,Batsman,
unk_jea_doctora,JEA Doctora,Philippines,Batsman,
unk_r_goodwin,R Goodwin,Philippines,Batsman,
unk_j_hill,J Hill,Philippines,Batsman,
unk_kulwinderjeet_singh,Kulwinderjeet Singh,Philippines,Batsman,
unk_mp_biddappa,MP Biddappa,Philippines,Batsman,
unk_surinder_singh,Surinder Singh,Philippines,Batsman,
unk_kapil_kumar,Kapil Kumar,Philippines,Batsman,
