id,name,country,primaryRole,image_url
unk_najjam_shahzad,Najjam Shahzad,Portugal,Fast Bowler,
unk_sirajullah_khadim,Sirajullah Khadim,Portugal,Fast Bowler,
unk_f_stoman,F Stoman,Portugal,Batsman,
unk_amir_zaib,Amir Zaib,Portugal,Batsman,
unk_amandeep_singh,Amandeep Singh,Portugal,Batsman,
unk_junaid_khan,Junaid Khan,Portugal,Batsman,
unk_zohaib_sarwar,Zohaib Sarwar,Portugal,Batsman,
unk_ara_chambers,ARA Chambers,Portugal,Batsman,
unk_kuldeep,Kuldeep,Portugal,Batsman,
unk_jam_henri,JAM Henri,Portugal,Batsman,
unk_sp_gomes,SP Gomes,Portugal,Batsman,
unk_suman_ghimire,Suman Ghimire,Portugal,Batsman,
unk_azhar_andani,Azhar Andani,Portugal,Batsman,
unk_m_machado,M Machado,Portugal,Batsman,
unk_syed_maisam_ali,Syed Maisam Ali,Portugal,Batsman,
unk_j_vijay,J Vijay,Portugal,Batsman,
unk_d_norotam,D Norotam,Portugal,Batsman,
unk_r_hashu,R Hashu,Portugal,Batsman,
unk_u_shantu,U Shantu,Portugal,Batsman,
unk_imran_khan_2,Imran Khan,Portugal,Batsman,
unk_fakhrul_mohon,Fakhrul Mohon,Portugal,Batsman,
unk_c_potgieter,C Potgieter,Portugal,Batsman,
unk_natim_hassam,Natim Hassam,Portugal,Batsman,
unk_c_nunes,C Nunes,Portugal,Batsman,
