id,name,country,primaryRole,image_url
unk_muhammad_tanveer,Muhammad Tanveer,Qatar,Batsman,
unk_i_liyanage,I Liyanage,Qatar,WK-Bat,
unk_ikramullah_khan,Ikramullah Khan,Qatar,Fast Bowler,
unk_saqlain_arshad,Saqlain Arshad,Qatar,Batsman,
unk_mohammad_rizlan,Mohammad Rizlan,Qatar,WK-Bat,
unk_mm_baig,MM Baig,Qatar,Batsman,
unk_muhammad_jabir,Muhammad Jabir,Qatar,Fast Bowler,
unk_mohammed_nadeem,Mohammed Nadeem,Qatar,Fast Bowler,
unk_kamran_khan,Kamran Khan,Qatar,Batsman,
unk_shahzaib_jamil,Shahzaib Jamil,Qatar,Batsman,
unk_h_rathod,H Rathod,Qatar,Fast Bowler,
unk_mohammad_ahnaff,Mohammad Ahnaff,Qatar,Batsman,
unk_mujeeb_ur_rehman,Mujeeb-ur-Rehman,Qatar,Batsman,
unk_gayan_munaweera,Gayan Munaweera,Qatar,Batsman,
unk_amir_farooq,Amir Farooq,Qatar,Batsman,
unk_muhammad_asim,Muhammad Asim,Qatar,Batsman,
unk_mohammed_irshad,Mohammed Irshad,Qatar,Batsman,
unk_owais_ahmed,Owais Ahmed,Qatar,Batsman,
unk_muhammad_murad,Muhammad Murad,Qatar,Batsman,
unk_adnan_mirza,Adnan Mirza,Qatar,Batsman,
unk_bukhar_illikkal,Bukhar Illikkal,Qatar,Batsman,
unk_bipin_kumar,Bipin Kumar,Qatar,Batsman,
unk_dam_louis,DAM Louis,Qatar,Batsman,
unk_musawar_shah,Musawar Shah,Qatar,Batsman,
unk_jassim_khan,Jassim Khan,Qatar,Batsman,
unk_zubair_ali,Zubair Ali,Qatar,Batsman,
unk_shariq_munir,Shariq Munir,Qatar,Batsman,
unk_iqbal_hussain,Iqbal Hussain,Qatar,Batsman,
unk_a_nagarajan,A Nagarajan,Qatar,Batsman,
unk_zaheer_ibrahim,Zaheer Ibrahim,Qatar,Batsman,
unk_akash_babu,Akash Babu,Qatar,Batsman,
unk_assad_borham,Assad Borham,Qatar,Batsman,
unk_vn_veetil,VN Veetil,Qatar,Batsman,
unk_tamoor_sajjad,Tamoor Sajjad,Qatar,Batsman,
unk_nouman_sarwar,Nouman Sarwar,Qatar,Batsman,
unk_r_theruvath,R Theruvath,Qatar,Batsman,
unk_mohammed_awais,Mohammed Awais,Qatar,Batsman,
unk_dharmang_patel,Dharmang Patel,Qatar,Batsman,
