id,name,country,primaryRole,image_url
unk_v_saini,V Saini,Romania,Fast Bowler,
unk_r_satheesan,R Satheesan,Romania,Batsman,
unk_taranjeet_singh,Taranjeet Singh,Romania,Fast Bowler,
unk_s_periyalwar,S Periyalwar,Romania,Batsman,
unk_s_nadigotla,S Nadigotla,Romania,WK-Bat,
unk_s_vashisht,S Vashisht,Romania,Fast Bowler,
unk_m_koli,M Koli,Romania,Fast Bowler,
unk_ijaz_hussain,Ijaz Hussain,Romania,Fast Bowler,
unk_luca_petre,Luca Petre,Romania,Batsman,
unk_muhammad_moiz,Muhammad Moiz,Romania,Batsman,
unk_abdul_shakoor,Abdul Shakoor,Romania,Batsman,
unk_c_zavoiu,C Zavoiu,Romania,Batsman,
unk_g_manan,G Manan,Romania,Batsman,
unk_md_ariyan,Md Ariyan,Romania,Batsman,
unk_rohit_kumar,Rohit Kumar,Romania,Batsman,
unk_avishka_iroshan,Avishka Iroshan,Romania,Batsman,
unk_gaurav_mishra,Gaurav Mishra,Romania,Batsman,
unk_m_gherasim,M Gherasim,Romania,Batsman,
unk_r_kumar,R Kumar,Romania,Batsman,
unk_rameez_khan,Rameez Khan,Romania,Batsman,
unk_p_florin,P Florin,Romania,Batsman,
unk_an_lascu,AN Lascu,Romania,Batsman,
unk_ali_hussain,Ali Hussain,Romania,Batsman,
unk_asif_bevinje,Asif Bevinje,Romania,Batsman,
unk_sami_ullah,Sami Ullah,Romania,Batsman,
unk_aftab_kayani,Aftab Kayani,Romania,Batsman,
unk_p_hingorani,P Hingorani,Romania,Batsman,
unk_a_rajshekara,A Rajshekara,Romania,Batsman,
unk_r_pisal,R Pisal,Romania,Batsman,
unk_r_athapaththu,R Athapaththu,Romania,Batsman,
unk_l_gharasim,L Gharasim,Romania,Batsman,
unk_ka_vimlesh,KA Vimlesh,Romania,Batsman,
unk_s_thakur,S Thakur,Romania,Batsman,
unk_sukhkaran_sahi,Sukhkaran Sahi,Romania,Batsman,
