id,name,country,primaryRole,image_url
unk_z_bimenyimana,Z Bimenyimana,Rwanda,Fast Bowler,
unk_d_ndikubwimana,D Ndikubwimana,Rwanda,WK-Bat,
unk_m_akayezu,M Akayezu,Rwanda,Fast Bowler,
unk_c_rububagumya,C Rububagumya,Rwanda,Fast Bowler,
unk_o_tuyisenge,O Tuyisenge,Rwanda,Batsman,
unk_o_manishimwe,O Manishimwe,Rwanda,Batsman,
unk_e_rukiriza,E Rukiriza,Rwanda,Fast Bowler,
unk_k_irakoze,K Irakoze,Rwanda,Fast Bowler,
unk_e_dusingizimana,E Dusingizimana,Rwanda,Batsman,
unk_muhammad_nadir,Muhammad Nadir,Rwanda,Fast Bowler,
unk_e_sebareme,E Sebareme,Rwanda,Fast Bowler,
unk_w_niyitanga,W Niyitanga,Rwanda,Batsman,
unk_i_ntirenganya,I Ntirenganya,Rwanda,Fast Bowler,
unk_e_niyomugabo,E Niyomugabo,Rwanda,Batsman,
unk_d_gumyusenge,D Gumyusenge,Rwanda,Batsman,
unk_e_kubwimana,E Kubwimana,Rwanda,Fast Bowler,
unk_hamza_khan,Hamza Khan,Rwanda,Batsman,
unk_i_niyomugabo,I Niyomugabo,Rwanda,Batsman,
unk_yves_cyusa,Yves Cyusa,Rwanda,Batsman,
unk_v_mitari,V Mitari,Rwanda,Batsman,
unk_i_mugisha,I Mugisha,Rwanda,Batsman,
unk_bosco_tuyizere,Bosco Tuyizere,Rwanda,Batsman,
unk_jm_iradukunda,JM Iradukunda,Rwanda,Batsman,
unk_rj_pierre,RJ Pierre,Rwanda,Batsman,
unk_p_vekaria,P Vekaria,Rwanda,Batsman,
unk_d_uwimana,D Uwimana,Rwanda,Batsman,
unk_s_samal,S Samal,Rwanda,Batsman,
