id,name,country,primaryRole,image_url
unk_f_suluoto,F Suluoto,Samoa,Batsman,
unk_ck_jasmat,CK Jasmat,Samoa,Batsman,
unk_sf_tiai,SF Tiai,Samoa,Fast Bowler,
unk_sm_nash,SM Nash,Samoa,Batsman,
unk_d_visser,D Visser,Samoa,Batsman,
unk_d_finau,D Finau,Samoa,Batsman,
unk_s_sola,S Sola,Samoa,Batsman,
unk_s_cotter,S Cotter,Samoa,Batsman,
unk_noah_mead,Noah Mead,Samoa,Batsman,
unk_sj_french,SJ French,Samoa,Batsman,
unk_bf_mailata,BF Mailata,Samoa,Batsman,
unk_de_roache,DE Roache,Samoa,Batsman,
unk_a_ilaoa,A Ilaoa,Samoa,Batsman,
unk_de_burgess,DE Burgess,Samoa,Batsman,
unk_kab_hynam_nyberg,KAB Hynam-Nyberg,Samoa,Batsman,
unk_sm_solia,SM Solia,Samoa,Batsman,
unk_dp_michael,DP Michael,Samoa,Batsman,
unk_aj_michael,AJ Michael,Samoa,Batsman,
unk_jd_baker,JD Baker,Samoa,Batsman,
