id,name,country,primaryRole,image_url
unk_abdul_waheed,Abdul Waheed,Saudi Arabia,Batsman,
unk_faisal_khan,Faisal Khan,Saudi Arabia,Batsman,
unk_ishtiaq_ahmad,Ishtiaq Ahmad,Saudi Arabia,Fast Bowler,
unk_zain_ul_abidin,Zain Ul Abidin,Saudi Arabia,Fast Bowler,
unk_manan_ali,Manan Ali,Saudi Arabia,Batsman,
unk_usman_najeeb,Usman Najeeb,Saudi Arabia,Fast Bowler,
unk_waji_ul_hassan,Waji Ul Hassan,Saudi Arabia,Batsman,
unk_hisham_sheikh,Hisham Sheikh,Saudi Arabia,Fast Bowler,
unk_usman_khalid,Usman Khalid,Saudi Arabia,Fast Bowler,
unk_atif_ur_rehman,Atif-Ur-Rehman,Saudi Arabia,Batsman,
unk_haseeb_ghafoor,Haseeb Ghafoor,Saudi Arabia,Batsman,
unk_abdul_wahid,Abdul Wahid,Saudi Arabia,Batsman,
unk_saad_khan,Saad Khan,Saudi Arabia,Batsman,
unk_kashif_siddique,Kashif Siddique,Saudi Arabia,Batsman,
unk_nawazish_akhtar,Nawazish Akhtar,Saudi Arabia,Batsman,
unk_s_sankar,S Sankar,Saudi Arabia,Batsman,
unk_syed_faizan_tahir,Syed Faizan Tahir,Saudi Arabia,Batsman,
unk_waqar_ul_hassan,Waqar Ul Hassan,Saudi Arabia,Batsman,
unk_imran_yousaf,Imran Yousaf,Saudi Arabia,Batsman,
unk_shahzaib,Shahzaib,Saudi Arabia,Batsman,
unk_sarfraz_butt,Sarfraz Butt,Saudi Arabia,WK-Bat,
unk_muhammad_saqib,Muhammad Saqib,Saudi Arabia,Batsman,
unk_irshad_mubbashar,Irshad Mubbashar,Saudi Arabia,Batsman,
unk_ahmad_raza,Ahmad Raza,Saudi Arabia,Batsman,
