id,name,country,primaryRole,image_url
sco_richie_berrington,Richie Berrington,Scotland,Fast Bowler,
sco_matthew_cross,Matthew Cross,Scotland,WK-Bat,
sco_michael_leask,Michael Leask,Scotland,Fast Bowler,
sco_mrj_watt,MRJ Watt,Scotland,Fast Bowler,
sco_sm_sharif,SM Sharif,Scotland,Fast Bowler,
sco_hg_munsey,HG Munsey,Scotland,Batsman,
sco_kj_coetzer,KJ Coetzer,Scotland,Batsman,
sco_cs_macleod,CS MacLeod,Scotland,Batsman,
sco_cn_greaves,CN Greaves,Scotland,Fast Bowler,
sco_bj_mcmullen,BJ McMullen,Scotland,Fast Bowler,
sco_ac_evans,AC Evans,Scotland,Fast Bowler,
sco_cb_sole,CB Sole,Scotland,Fast Bowler,
sco_hamza_tahir,Hamza Tahir,Scotland,Spin Bowler,
sco_jh_davey,JH Davey,Scotland,Fast Bowler,
sco_cd_wallace,CD Wallace,Scotland,Batsman,
sco_btj_wheal,BTJ Wheal,Scotland,Fast Bowler,
sco_bj_currie,BJ Currie,Scotland,Fast Bowler,
sco_pl_mommsen,PL Mommsen,Scotland,Batsman,
sco_ma_jones,MA Jones,Scotland,Batsman,
sco_gt_main,GT Main,Scotland,Fast Bowler,
sco_rm_haq,RM Haq,Scotland,Fast Bowler,
sco_oj_hairs,OJ Hairs,Scotland,Batsman,
sco_c_tear,C Tear,Scotland,Batsman,
sco_de_budge,DE Budge,Scotland,Batsman,
sco_j_jarvis,J Jarvis,Scotland,Fast Bowler,
sco_cm_mcbride,CM McBride,Scotland,Batsman,
sco_tc_bruce,TC Bruce,Scotland,Batsman,
sco_mw_machan,MW Machan,Scotland,Batsman,
sco_nfi_mccallum,NFI McCallum,Scotland,Batsman,
sco_tb_sole,TB Sole,Scotland,Batsman,
sco_rr_watson,RR Watson,Scotland,Batsman,
sco_gm_hamilton,GM Hamilton,Scotland,Batsman,
sco_cjo_smith,CJO Smith,Scotland,WK-Bat,
sco_rml_taylor,RML Taylor,Scotland,Batsman,
sco_df_watts,DF Watts,Scotland,Batsman,
sco_fdw_mccreath,FDW McCreath,Scotland,Batsman,
sco_cd_de_lange,CD de Lange,Scotland,Fast Bowler,
sco_a_neill,A Neill,Scotland,Fast Bowler,
sco_jar_blain,JAR Blain,Scotland,Batsman,
sco_i_wardlaw,I Wardlaw,Scotland,Batsman,
sco_tss_mackintosh,TSS Mackintosh,Scotland,Batsman,
sco_jj_davidson,JJ Davidson,Scotland,Batsman,
sco_ns_poonia,NS Poonia,Scotland,Batsman,
sco_jd_nel,JD Nel,Scotland,Batsman,
sco_gd_drummond,GD Drummond,Scotland,Batsman,
sco_cm_wright,CM Wright,Scotland,Batsman,
sco_frj_coleman,FRJ Coleman,Scotland,Batsman,
sco_c_cassell,C Cassell,Scotland,Batsman,
sco_sg_whittingham,SG Whittingham,Scotland,Batsman,
sco_jh_stander,JH Stander,Scotland,Batsman,
sco_hjw_gardiner,HJW Gardiner,Scotland,Batsman,
sco_ga_rogers,GA Rogers,Scotland,Batsman,
sco_pjc_hoffmann,PJC Hoffmann,Scotland,Batsman,
sco_ari_umeed,ARI Umeed,Scotland,Batsman,
sco_dr_brown,DR Brown,Scotland,Batsman,
