id,name,country,primaryRole,image_url
unk_n_krishna,N Krishna,Seychelles,Batsman,
unk_skdt_madusanka,SKDT Madusanka,Seychelles,Batsman,
unk_mazharul_islam,Mazharul Islam,Seychelles,Batsman,
unk_sr_mohan,SR Mohan,Seychelles,WK-Bat,
unk_s_rana,S Rana,Seychelles,Batsman,
unk_sr_rocket,SR Rocket,Seychelles,Batsman,
unk_tkp_rajapaksha,TKP Rajapaksha,Seychelles,Batsman,
unk_stra_de_silva,STRA de Silva,Seychelles,Batsman,
unk_s_rukmal,S Rukmal,Seychelles,Batsman,
unk_d_kalvin,D Kalvin,Seychelles,Batsman,
unk_s_udhayan,S Udhayan,Seychelles,Batsman,
unk_hl_harji,HL Harji,Seychelles,Batsman,
unk_vl_mukesh,VL Mukesh,Seychelles,Batsman,
unk_t_rajiv,T Rajiv,Seychelles,Batsman,
unk_kj_patel,KJ Patel,Seychelles,Batsman,
