id,name,country,primaryRole,image_url
unk_j_bangura,J Bangura,Sierra Leone,WK-Bat,
unk_l_lamin,L Lamin,Sierra Leone,Batsman,
unk_a_gbla,A Gbla,Sierra Leone,Batsman,
unk_c_bah,C Bah,Sierra Leone,Batsman,
unk_r_coker,R Coker,Sierra Leone,Fast Bowler,
unk_g_sesay,G Sesay,Sierra Leone,Fast Bowler,
unk_s_conteh,S Conteh,Sierra Leone,Fast Bowler,
unk_g_ngegba,G Ngegba,Sierra Leone,Fast Bowler,
unk_m_kpaka,M Kpaka,Sierra Leone,Batsman,
unk_ab_kamara,AB Kamara,Sierra Leone,Batsman,
unk_s_williams,S Williams,Sierra Leone,Batsman,
unk_a_turay,A Turay,Sierra Leone,Batsman,
unk_y_jalloh,Y Jalloh,Sierra Leone,Batsman,
unk_a_kainessie,A Kainessie,Sierra Leone,Batsman,
unk_mohamed_turay,Mohamed Turay,Sierra Leone,Batsman,
unk_zahid_khan,Zahid Khan,Sierra Leone,Batsman,
unk_e_ernest,E Ernest,Sierra Leone,Batsman,
unk_i_kamara,I Kamara,Sierra Leone,Batsman,
unk_j_lassayo,J Lassayo,Sierra Leone,Batsman,
unk_al_kerai,AL Kerai,Sierra Leone,Batsman,
unk_ibrahim_kpaka,Ibrahim Kpaka,Sierra Leone,Batsman,
unk_s_tarawally,S Tarawally,Sierra Leone,Batsman,
unk_mohamed_khan,Mohamed Khan,Sierra Leone,Batsman,
