id,name,country,primaryRole,image_url
unk_s_chandramohan,S Chandramohan,Singapore,Batsman,
unk_janak_prakash,Janak Prakash,Singapore,Fast Bowler,
unk_aritra_dutta,Aritra Dutta,Singapore,Batsman,
unk_ar_puri,AR Puri,Singapore,Fast Bowler,
unk_aman_desai,Aman Desai,Singapore,Batsman,
unk_v_baskaran,V Baskaran,Singapore,Fast Bowler,
unk_r_rohan,R Rohan,Singapore,Batsman,
unk_amjad_mahboob,Amjad Mahboob,Singapore,Fast Bowler,
unk_u_aryaman_sunil,U Aryaman Sunil,Singapore,Batsman,
unk_r_gaznavi,R Gaznavi,Singapore,Batsman,
unk_r_kalimuthu,R Kalimuthu,Singapore,Batsman,
unk_a_krishna,A Krishna,Singapore,Batsman,
unk_nms_param,NMS Param,Singapore,Batsman,
unk_psrk_sudarshan,PSRK Sudarshan,Singapore,Batsman,
unk_h_venkataram,H Venkataram,Singapore,Batsman,
unk_g_gune,G Gune,Singapore,Batsman,
unk_sh_venugopal,SH Venugopal,Singapore,Batsman,
unk_ae_paraam,AE Paraam,Singapore,Batsman,
unk_h_bharadwaj,H Bharadwaj,Singapore,Batsman,
unk_sidhant_singh,Sidhant Singh,Singapore,Batsman,
unk_avi_dixit,Avi Dixit,Singapore,Batsman,
unk_ip_swaney,IP Swaney,Singapore,Batsman,
unk_r_sharma,R Sharma,Singapore,Batsman,
unk_a_mutreja,A Mutreja,Singapore,Batsman,
unk_a_kaul,A Kaul,Singapore,Batsman,
unk_aslan_jafri,Aslan Jafri,Singapore,Batsman,
unk_dps_tyagi,DPS Tyagi,Singapore,Batsman,
unk_s_vijayakumar,S Vijayakumar,Singapore,Batsman,
unk_aahan_achar,AAhan Achar,Singapore,Batsman,
unk_na_karnik,NA Karnik,Singapore,Batsman,
unk_ma_sherry,MA Sherry,Singapore,Batsman,
unk_k_sathish,K Sathish,Singapore,Batsman,
unk_a_modi,A Modi,Singapore,Batsman,
unk_wa_simpson,WA Simpson,Singapore,Batsman,
unk_js_iggo,JS Iggo,Singapore,Batsman,
unk_c_sridev,C Sridev,Singapore,Batsman,
unk_v_nagpaul,V Nagpaul,Singapore,Batsman,
unk_hk_kukreja,HK Kukreja,Singapore,Batsman,
unk_kabir_berlia,Kabir Berlia,Singapore,Batsman,
unk_v_hampihallikar,V Hampihallikar,Singapore,Batsman,
unk_a_chaudhary,A Chaudhary,Singapore,Batsman,
unk_s_banamali,S Banamali,Singapore,Batsman,
unk_kashif_khan,Kashif Khan,Singapore,Batsman,
