id,name,country,primaryRole,image_url
unk_s_koppolu,S Koppolu,Slovenia,Batsman,
unk_taher_muhammad,Taher Muhammad,Slovenia,Batsman,
unk_muhammad_siddiqui,Muhammad Siddiqui,Slovenia,Batsman,
unk_shahid_arshad,Shahid Arshad,Slovenia,Batsman,
unk_waqar_khan,Waqar Khan,Slovenia,Batsman,
unk_izaz_ali,Izaz Ali,Slovenia,Batsman,
unk_rasheed_ali_mamadkhel,Rasheed Ali Mamadkhel,Slovenia,Batsman,
unk_dk_pallekonda,DK Pallekonda,Slovenia,Batsman,
unk_tarun_sharma,Tarun Sharma,Slovenia,Batsman,
unk_saeed_waqar_ali,Saeed Waqar Ali,Slovenia,Batsman,
unk_ayyaz_qureshi,Ayyaz Qureshi,Slovenia,Batsman,
unk_d_matla,D Matla,Slovenia,Batsman,
unk_p_pustoslemsek,P Pustoslemsek,Slovenia,Batsman,
unk_awais_ikram,Awais Ikram,Slovenia,Batsman,
