id,name,country,primaryRole,image_url
sa_ab_de_villiers,AB de Villiers,South Africa,WK-Bat,
sa_david_miller,David Miller,South Africa,Batsman,
sa_quinton_de_kock,Quinton de Kock,South Africa,WK-Bat,
sa_faf_du_plessis,Faf du Plessis,South Africa,Batsman,
sa_jp_duminy,JP Duminy,South Africa,All-Rounder,
sa_hashim_amla,Hashim Amla,South Africa,Batsman,
sa_dale_steyn,Dale Steyn,South Africa,Fast Bowler,
sa_jacques_kallis,Jacques Kallis,South Africa,All-Rounder,
sa_kagiso_rabada,Kagiso Rabada,South Africa,Fast Bowler,
sa_morne_morkel,Morne Morkel,South Africa,Fast Bowler,
sa_graeme_smith,Graeme Smith,South Africa,Batsman,
sa_mark_boucher,Mark Boucher,South Africa,WK-Bat,
sa_aiden_markram,Aiden Markram,South Africa,Batsman,
sa_imran_tahir,Imran Tahir,South Africa,Spin Bowler,
sa_herschelle_gibbs,Herschelle Gibbs,South Africa,Batsman,
sa_albie_morkel,Albie Morkel,South Africa,Fast Bowler,
sa_heinrich_klaasen,Heinrich Klaasen,South Africa,WK-Bat,
sa_wayne_parnell,Wayne Parnell,South Africa,Fast Bowler,
sa_makhaya_ntini,Makhaya Ntini,South Africa,Fast Bowler,
sa_lungi_ngidi,Lungi Ngidi,South Africa,Fast Bowler,
sa_keshav_maharaj,Keshav Maharaj,South Africa,Spin Bowler,
sa_johan_botha,Johan Botha,South Africa,Fast Bowler,
sa_temba_bavuma,Temba Bavuma,South Africa,Batsman,
sa_shaun_pollock,Shaun Pollock,South Africa,Fast Bowler,
sa_chris_morris,Chris Morris,South Africa,Fast Bowler,
sa_he_van_der_dussen,HE van der Dussen,South Africa,Batsman,
sa_a_nortje,A Nortje,South Africa,Fast Bowler,
sa_t_shamsi,T Shamsi,South Africa,Spin Bowler,
sa_al_phehlukwayo,AL Phehlukwayo,South Africa,Fast Bowler,
sa_rr_hendricks,RR Hendricks,South Africa,Batsman,
sa_m_jansen,M Jansen,South Africa,Fast Bowler,
sa_rj_peterson,RJ Peterson,South Africa,Fast Bowler,
sa_t_stubbs,T Stubbs,South Africa,Batsman,
sa_vd_philander,VD Philander,South Africa,Fast Bowler,
sa_ag_prince,AG Prince,South Africa,Batsman,
sa_f_behardien,F Behardien,South Africa,Batsman,
sa_d_elgar,D Elgar,South Africa,Batsman,
sa_ll_tsotsobe,LL Tsotsobe,South Africa,Fast Bowler,
sa_a_nel,A Nel,South Africa,Fast Bowler,
sa_rr_rossouw,RR Rossouw,South Africa,Batsman,
