id,name,country,primaryRole,image_url
unk_kim_daeyeon,Kim Daeyeon,South Korea,Batsman,
unk_s_maduranga,S Maduranga,South Korea,Batsman,
unk_bi_dilruksha,BI Dilruksha,South Korea,WK-Bat,
unk_kuldeep_gurjar,Kuldeep Gurjar,South Korea,Batsman,
unk_aamir_lal,Aamir Lal,South Korea,Batsman,
unk_jun_hyunwoo,Jun Hyunwoo,South Korea,Batsman,
unk_raja_shoaib,Raja Shoaib,South Korea,Batsman,
unk_alam_nakash,Alam Nakash,South Korea,Batsman,
unk_mudassir_iqbal,Mudassir Iqbal,South Korea,Batsman,
unk_nishat_sakib,Nishat Sakib,South Korea,Batsman,
unk_dvd_madampage,DVD Madampage,South Korea,Batsman,
unk_hmhe_parsons,HMHE Parsons,South Korea,Batsman,
unk_bilal_ahmad_mir,Bilal Ahmad Mir,South Korea,Batsman,
unk_k_babu,K Babu,South Korea,Batsman,
unk_an_hyobeom,AN Hyobeom,South Korea,Batsman,
unk_lee_kangmin,Lee Kangmin,South Korea,Batsman,
unk_fazil_muhammad,Fazil Muhammad,South Korea,Batsman,
unk_basharat_hussain,Basharat Hussain,South Korea,Batsman,
