id,name,country,primaryRole,image_url
unk_c_munoz_mills,C Munoz-Mills,Spain,Batsman,
unk_yasir_ali,Yasir Ali,Spain,Fast Bowler,
unk_d_doyle_calle,D Doyle-Calle,Spain,Batsman,
unk_la_burns,LA Burns,Spain,Fast Bowler,
unk_hamza_dar,Hamza Dar,Spain,Batsman,
unk_raja_adeel,Raja Adeel,Spain,Fast Bowler,
unk_c_rumistrzewicz,C Rumistrzewicz,Spain,Fast Bowler,
unk_atif_mehmood,Atif Mehmood,Spain,Fast Bowler,
unk_mohammad_ihsan,Mohammad Ihsan,Spain,WK-Bat,
unk_awais_ahmed,Awais Ahmed,Spain,WK-Bat,
unk_mohammad_kamran,Mohammad Kamran,Spain,Fast Bowler,
unk_r_panchal,R Panchal,Spain,Batsman,
unk_a_davidson_soler,A Davidson Soler,Spain,WK-Bat,
unk_muhammad_yasin,Muhammad Yasin,Spain,Batsman,
unk_mohammad_atif,Mohammad Atif,Spain,Batsman,
unk_pd_hennessy,PD Hennessy,Spain,Batsman,
unk_shafat_ali_syed,Shafat Ali Syed,Spain,Batsman,
unk_tc_vine,TC Vine,Spain,Batsman,
unk_j_perman,J Perman,Spain,Batsman,
unk_j_trembeath_moro,J Trembeath-Moro,Spain,Batsman,
unk_sj_hughes_pinan,SJ Hughes-Pinan,Spain,Batsman,
unk_kuldeep_lal,Kuldeep Lal,Spain,Batsman,
unk_zulqarnain_haider,Zulqarnain Haider,Spain,Batsman,
unk_ad_algar,AD Algar,Spain,Batsman,
