id,name,country,primaryRole,image_url
sl_kumar_sangakkara,Kumar Sangakkara,Sri Lanka,WK-Bat,
sl_mahela_jayawardene,Mahela Jayawardene,Sri Lanka,Batsman,
sl_tillakaratne_dilshan,Tillakaratne Dilshan,Sri Lanka,Batsman,
sl_angelo_mathews,Angelo Mathews,Sri Lanka,All-Rounder,
sl_lasith_malinga,Lasith Malinga,Sri Lanka,Fast Bowler,
sl_dinesh_chandimal,Dinesh Chandimal,Sri Lanka,WK-Bat,
sl_kusal_mendis,Kusal Mendis,Sri Lanka,WK-Bat,
sl_thisara_perera,Thisara Perera,Sri Lanka,Spin Bowler,
sl_upul_tharanga,Upul Tharanga,Sri Lanka,Batsman,
sl_nuwan_kulasekara,Nuwan Kulasekara,Sri Lanka,Fast Bowler,
sl_muttiah_muralitharan,Muttiah Muralitharan,Sri Lanka,Spin Bowler,
sl_kusal_perera,Kusal Perera,Sri Lanka,WK-Bat,
sl_sanath_jayasuriya,Sanath Jayasuriya,Sri Lanka,All-Rounder,
sl_lahiru_thirimanne,Lahiru Thirimanne,Sri Lanka,Batsman,
sl_dhananjaya_de_silva,Dhananjaya de Silva,Sri Lanka,All-Rounder,
sl_wanindu_hasaranga,Wanindu Hasaranga,Sri Lanka,Spin Bowler,
sl_dasun_shanaka,Dasun Shanaka,Sri Lanka,Fast Bowler,
sl_rangana_herath,Rangana Herath,Sri Lanka,Spin Bowler,
sl_suranga_lakmal,Suranga Lakmal,Sri Lanka,Fast Bowler,
sl_pathum_nissanka,Pathum Nissanka,Sri Lanka,Batsman,
sl_maheesh_theekshana,Maheesh Theekshana,Sri Lanka,Spin Bowler,
sl_dushmantha_chameera,Dushmantha Chameera,Sri Lanka,Fast Bowler,
sl_ajantha_mendis,Ajantha Mendis,Sri Lanka,Spin Bowler,
sl_ck_kapugedera,CK Kapugedera,Sri Lanka,Batsman,
sl_kic_asalanka,KIC Asalanka,Sri Lanka,Fast Bowler,
sl_fdm_karunaratne,FDM Karunaratne,Sri Lanka,Batsman,
sl_wpujc_vaas,WPUJC Vaas,Sri Lanka,Fast Bowler,
sl_crd_fernando,CRD Fernando,Sri Lanka,Fast Bowler,
sl_n_dickwella,N Dickwella,Sri Lanka,WK-Bat,
sl_mf_maharoof,MF Maharoof,Sri Lanka,Fast Bowler,
sl_md_gunathilaka,MD Gunathilaka,Sri Lanka,Batsman,
sl_n_pradeep,N Pradeep,Sri Lanka,Fast Bowler,
sl_tt_samaraweera,TT Samaraweera,Sri Lanka,Batsman,
sl_lpc_silva,LPC Silva,Sri Lanka,Batsman,
sl_cbrls_kumara,CBRLS Kumara,Sri Lanka,Fast Bowler,
sl_wia_fernando,WIA Fernando,Sri Lanka,Batsman,
sl_smsm_senanayake,SMSM Senanayake,Sri Lanka,Fast Bowler,
sl_phkd_mendis,PHKD Mendis,Sri Lanka,Batsman,
sl_bmaj_mendis,BMAJ Mendis,Sri Lanka,Fast Bowler,
sl_ms_atapattu,MS Atapattu,Sri Lanka,Batsman,
sl_a_dananjaya,A Dananjaya,Sri Lanka,Fast Bowler,
sl_s_samarawickrama,S Samarawickrama,Sri Lanka,WK-Bat,
sl_c_karunaratne,C Karunaratne,Sri Lanka,Fast Bowler,
