id,name,country,primaryRole,image_url
unk_khalid_zahid,Khalid Zahid,Sweden,Fast Bowler,
unk_imal_zuwak,Imal Zuwak,Sweden,Batsman,
unk_hamid_mahmood,Hamid Mahmood,Sweden,Batsman,
unk_w_boshoff,W Boshoff,Sweden,WK-Bat,
unk_a_venkatesh,A Venkatesh,Sweden,Batsman,
unk_l_karlsson,L Karlsson,Sweden,Batsman,
unk_samiullah_rahmani,Samiullah Rahmani,Sweden,Batsman,
unk_zaker_taqawi,Zaker Taqawi,Sweden,Batsman,
unk_abdul_naser_baluch,Abdul Naser Baluch,Sweden,Batsman,
unk_a_mundra,A Mundra,Sweden,Batsman,
unk_saeed_ahmed,Saeed Ahmed,Sweden,Batsman,
unk_baz_aybui,Baz Aybui,Sweden,Batsman,
unk_umar_nawaz,Umar Nawaz,Sweden,Batsman,
unk_azam_khalil,Azam Khalil,Sweden,Batsman,
unk_ismaeel_zia,Ismaeel Zia,Sweden,Batsman,
unk_awais_ahmad,Awais Ahmad,Sweden,Batsman,
unk_j_stanigze,J Stanigze,Sweden,Batsman,
unk_a_dhabe,A Dhabe,Sweden,Batsman,
unk_rahel_khan,Rahel Khan,Sweden,Batsman,
unk_qudratullah_mir_afzail,Qudratullah Mir Afzail,Sweden,Batsman,
unk_lemar_momand,Lemar Momand,Sweden,Batsman,
unk_choudry_share_ali,Choudry Share Ali,Sweden,Batsman,
unk_r_gowthaman,R Gowthaman,Sweden,Batsman,
unk_dipanjan_dey,Dipanjan Dey,Sweden,Batsman,
