id,name,country,primaryRole,image_url
unk_nk_aneesh_kumar,NK Aneesh Kumar,Switzerland,Fast Bowler,
unk_arjun_vinod,Arjun Vinod,Switzerland,Batsman,
unk_ali_nayyer,Ali Nayyer,Switzerland,Fast Bowler,
unk_ashwin_vinod,Ashwin Vinod,Switzerland,Spin Bowler,
unk_faheem_nazir,Faheem Nazir,Switzerland,Batsman,
unk_ahmed_hassan,Ahmed Hassan,Switzerland,WK-Bat,
unk_k_fletcher,K Fletcher,Switzerland,Fast Bowler,
unk_idrees_ul_haque,Idrees Ul Haque,Switzerland,Batsman,
unk_osama_mahmood,Osama Mahmood,Switzerland,Batsman,
unk_m_stanikzai,M Stanikzai,Switzerland,Batsman,
unk_d_johnson,D Johnson,Switzerland,Batsman,
unk_h_deshan,H Deshan,Switzerland,Batsman,
unk_asad_mahmood,Asad Mahmood,Switzerland,Batsman,
unk_jai_sinh,Jai Sinh,Switzerland,Batsman,
unk_noorkhan_ahmedi,Noorkhan Ahmedi,Switzerland,Batsman,
unk_abdullah_rana,Abdullah Rana,Switzerland,Batsman,
unk_khalid_niazi,Khalid Niazi,Switzerland,Batsman,
unk_anser_mehmood,Anser Mehmood,Switzerland,Batsman,
unk_a_andrews,A Andrews,Switzerland,Batsman,
unk_sathya_narayanan,Sathya Narayanan,Switzerland,Batsman,
unk_mk_gnanasekaram,MK Gnanasekaram,Switzerland,Batsman,
unk_sheraz_sirwari,Sheraz Sirwari,Switzerland,Batsman,
