id,name,country,primaryRole,image_url
unk_am_kimote,AM Kimote,Tanzania,Fast Bowler,
unk_k_nassoro,K Nassoro,Tanzania,Fast Bowler,
unk_sa_jumbe,SA Jumbe,Tanzania,Fast Bowler,
unk_ii_selemani,II Selemani,Tanzania,Batsman,
unk_s_thakor,S Thakor,Tanzania,Fast Bowler,
unk_ar_patwa,AR Patwa,Tanzania,Batsman,
unk_ap_rajeevan,AP Rajeevan,Tanzania,WK-Bat,
unk_mo_kitunda,MO Kitunda,Tanzania,WK-Bat,
unk_ym_nkanya,YM Nkanya,Tanzania,Fast Bowler,
unk_m_yunusu_issa,M Yunusu Issa,Tanzania,Batsman,
unk_ha_chohan,HA Chohan,Tanzania,Fast Bowler,
unk_akhil_anil,Akhil Anil,Tanzania,Batsman,
unk_jitin_singh,Jitin Singh,Tanzania,Batsman,
unk_aj_jabiri,AJ Jabiri,Tanzania,Batsman,
unk_ls_barkania,LS Barkania,Tanzania,Batsman,
unk_jj_nyambo,JJ Nyambo,Tanzania,Batsman,
unk_shaik_basha,Shaik Basha,Tanzania,Batsman,
unk_k_juma,K Juma,Tanzania,Batsman,
unk_rk_kiseto,RK Kiseto,Tanzania,Batsman,
unk_da_mehta,DA Mehta,Tanzania,Batsman,
unk_arun_yadav,Arun Yadav,Tanzania,Batsman,
unk_a_augastin,A Augastin,Tanzania,Batsman,
unk_ms_maker,MS Maker,Tanzania,Batsman,
unk_zr_jaboneke,ZR Jaboneke,Tanzania,Batsman,
unk_jc_darji,JC Darji,Tanzania,Batsman,
unk_n_mapunda,N Mapunda,Tanzania,WK-Bat,
unk_j_masquater,J Masquater,Tanzania,Batsman,
unk_aa_jasani,AA Jasani,Tanzania,Batsman,
unk_s_selvaraj,S Selvaraj,Tanzania,Batsman,
