id,name,country,primaryRole,image_url
unk_ilyas_ataullah,Ilyas Ataullah,Turkey,Batsman,
unk_a_turkmen,A Turkmen,Turkey,Batsman,
unk_gg_alta,GG Alta,Turkey,Batsman,
unk_r_nath,R Nath,Turkey,Batsman,
unk_i_elec,I Elec,Turkey,Batsman,
unk_m_ozturk,M Ozturk,Turkey,Batsman,
unk_shamsullah_ehsan,Shamsullah Ehsan,Turkey,Batsman,
unk_zafer_durmaz,Zafer Durmaz,Turkey,Batsman,
unk_murat_yilmaz,Murat Yilmaz,Turkey,Batsman,
unk_muhammet_bicer,Muhammet Bicer,Turkey,Batsman,
unk_muhammed_turkmen,Muhammed Turkmen,Turkey,Batsman,
