id,name,country,primaryRole,image_url
unk_h_ssenyondo,H Ssenyondo,Uganda,Fast Bowler,
unk_s_sesazi,S Sesazi,Uganda,Batsman,
unk_dm_nakrani,DM Nakrani,Uganda,Fast Bowler,
unk_riazat_ali_shah,Riazat Ali Shah,Uganda,Fast Bowler,
unk_f_nsubuga,F Nsubuga,Uganda,Fast Bowler,
unk_k_waiswa,K Waiswa,Uganda,Fast Bowler,
unk_ar_ramjani,AR Ramjani,Uganda,Fast Bowler,
unk_b_masaba,B Masaba,Uganda,Batsman,
unk_rg_mukasa,RG Mukasa,Uganda,Batsman,
unk_f_achelam,F Achelam,Uganda,WK-Bat,
unk_c_kyewuta,C Kyewuta,Uganda,Fast Bowler,
unk_cn_kakuru,CN Kakuru,Uganda,WK-Bat,
unk_j_miyaji,J Miyaji,Uganda,Fast Bowler,
unk_rb_patel,RB Patel,Uganda,Batsman,
unk_bilal_hassun,Bilal Hassun,Uganda,Fast Bowler,
unk_r_obuya,R Obuya,Uganda,Batsman,
unk_p_murungi,P Murungi,Uganda,Batsman,
unk_d_muhumuza,D Muhumuza,Uganda,Batsman,
unk_f_akankwasa,F Akankwasa,Uganda,Batsman,
unk_r_lutaaya,R Lutaaya,Uganda,Batsman,
unk_raghav_dhawan,Raghav Dhawan,Uganda,Batsman,
unk_saud_islam,Saud Islam,Uganda,Batsman,
unk_j_baguma,J Baguma,Uganda,Batsman,
unk_sg_mangela,SG Mangela,Uganda,Batsman,
unk_s_nsubuga,S Nsubuga,Uganda,Batsman,
unk_a_otwani,A Otwani,Uganda,Batsman,
unk_j_sebanja,J Sebanja,Uganda,Batsman,
unk_d_wabwire,D Wabwire,Uganda,Batsman,
unk_c_waiswa,C Waiswa,Uganda,Batsman,
unk_m_musinguzi,M Musinguzi,Uganda,Batsman,
unk_sl_verma,SL Verma,Uganda,Batsman,
