id,name,country,primaryRole,image_url
uae_waseem_muhammad,Waseem Muhammad,United Arab Emirates,Batsman,
uae_junaid_siddique,Junaid Siddique,United Arab Emirates,Fast Bowler,
uae_rohan_mustafa,Rohan Mustafa,United Arab Emirates,Fast Bowler,
uae_zahoor_khan,Zahoor Khan,United Arab Emirates,Fast Bowler,
uae_basil_hameed,Basil Hameed,United Arab Emirates,Fast Bowler,
uae_v_aravind,V Aravind,United Arab Emirates,WK-Bat,
uae_ahmed_raza,Ahmed Raza,United Arab Emirates,Fast Bowler,
uae_a_sharafu,A Sharafu,United Arab Emirates,Batsman,
uae_asif_khan,Asif Khan,United Arab Emirates,Batsman,
uae_muhammad_usman,Muhammad Usman,United Arab Emirates,Batsman,
uae_aayan_afzal_khan,Aayan Afzal Khan,United Arab Emirates,Fast Bowler,
uae_chirag_suri,Chirag Suri,United Arab Emirates,Batsman,
uae_shaiman_anwar,Shaiman Anwar,United Arab Emirates,Batsman,
uae_cp_rizwan,CP Rizwan,United Arab Emirates,WK-Bat,
uae_mohammad_naveed,Mohammad Naveed,United Arab Emirates,Fast Bowler,
uae_r_chopra,R Chopra,United Arab Emirates,Batsman,
uae_ali_naseer,Ali Naseer,United Arab Emirates,Fast Bowler,
uae_kp_meiyappan,KP Meiyappan,United Arab Emirates,Fast Bowler,
uae_muhammad_jawadullah,Muhammad Jawadullah,United Arab Emirates,Fast Bowler,
uae_d_parashar,D Parashar,United Arab Emirates,Fast Bowler,
uae_rameez_shahzad,Rameez Shahzad,United Arab Emirates,Batsman,
uae_a_sharma,A Sharma,United Arab Emirates,WK-Bat,
uae_kashif_daud,Kashif Daud,United Arab Emirates,Fast Bowler,
uae_ghulam_shabber,Ghulam Shabber,United Arab Emirates,Batsman,
uae_amjad_javed,Amjad Javed,United Arab Emirates,Fast Bowler,
uae_imran_haider,Imran Haider,United Arab Emirates,Fast Bowler,
uae_ashfaq_ahmed,Ashfaq Ahmed,United Arab Emirates,Batsman,
uae_haider_ali,Haider Ali,United Arab Emirates,Fast Bowler,
uae_mohammad_boota,Mohammad Boota,United Arab Emirates,WK-Bat,
uae_zawar_farid,Zawar Farid,United Arab Emirates,Batsman,
uae_akif_raja,Akif Raja,United Arab Emirates,Fast Bowler,
uae_aryan_lakra,Aryan Lakra,United Arab Emirates,Batsman,
uae_sp_patil,SP Patil,United Arab Emirates,WK-Bat,
uae_sultan_ahmed,Sultan Ahmed,United Arab Emirates,Fast Bowler,
uae_zuhaib_zubair,Zuhaib Zubair,United Arab Emirates,Batsman,
uae_ss_kang,SS Kang,United Arab Emirates,Fast Bowler,
uae_waheed_ahmed,Waheed Ahmed,United Arab Emirates,Batsman,
uae_v_sukumaran,V Sukumaran,United Arab Emirates,Batsman,
uae_syed_haider,Syed Haider,United Arab Emirates,Batsman,
uae_adnan_mufti,Adnan Mufti,United Arab Emirates,Batsman,
uae_qadeer_ahmed,Qadeer Ahmed,United Arab Emirates,Batsman,
uae_mohammad_shahzad,Mohammad Shahzad,United Arab Emirates,Batsman,
uae_h_kaushik,H Kaushik,United Arab Emirates,Batsman,
uae_muhammad_rohid,Muhammad Rohid,United Arab Emirates,Batsman,
uae_sm_sharma,SM Sharma,United Arab Emirates,Batsman,
uae_amjad_ali,Amjad Ali,United Arab Emirates,Batsman,
uae_ddp_d_silva,DDP D'Silva,United Arab Emirates,Batsman,
uae_t_suri,T Suri,United Arab Emirates,Batsman,
uae_muhammad_farooq,Muhammad Farooq,United Arab Emirates,Batsman,
uae_amir_hayat,Amir Hayat,United Arab Emirates,Batsman,
uae_muhammad_zohaib,Muhammad Zohaib,United Arab Emirates,Batsman,
uae_ethan_d_souza,Ethan D'Souza,United Arab Emirates,Batsman,
uae_khurram_khan,Khurram Khan,United Arab Emirates,Batsman,
uae_nilansh_keswani,Nilansh Keswani,United Arab Emirates,Batsman,
uae_mohammad_tauqir,Mohammad Tauqir,United Arab Emirates,Batsman,
uae_mohammed_qasim,Mohammed Qasim,United Arab Emirates,Batsman,
uae_rn_bhatia,RN Bhatia,United Arab Emirates,Batsman,
uae_am_guruge,AM Guruge,United Arab Emirates,Batsman,
uae_saqlain_haider,Saqlain Haider,United Arab Emirates,Batsman,
uae_zahid_ali,Zahid Ali,United Arab Emirates,Batsman,
uae_ar_berenger,AR Berenger,United Arab Emirates,Batsman,
uae_muhammad_arfan,Muhammad Arfan,United Arab Emirates,Batsman,
uae_abdul_shakoor,Abdul Shakoor,United Arab Emirates,Batsman,
uae_sabir_ali,Sabir Ali,United Arab Emirates,Batsman,
uae_hazrat_bilal,Hazrat Bilal,United Arab Emirates,Batsman,
uae_ansh_tandon,Ansh Tandon,United Arab Emirates,Batsman,
uae_omid_shafi_rahman,Omid Shafi Rahman,United Arab Emirates,Batsman,
uae_krishna_chandran,Krishna Chandran,United Arab Emirates,Batsman,
uae_shoaib_khan,Shoaib Khan,United Arab Emirates,Batsman,
uae_khalid_shah,Khalid Shah,United Arab Emirates,Batsman,
uae_muhammad_kaleem,Muhammad Kaleem,United Arab Emirates,Batsman,
uae_matiullah_khan,Matiullah Khan,United Arab Emirates,Batsman,
uae_mohammed_faraazuddin,Mohammed Faraazuddin,United Arab Emirates,Batsman,
uae_fahad_tariq,Fahad Tariq,United Arab Emirates,Batsman,
uae_saghir_khan,Saghir Khan,United Arab Emirates,Batsman,
uae_kamran_shazad,Kamran Shazad,United Arab Emirates,Batsman,
uae_faizan_asif,Faizan Asif,United Arab Emirates,Batsman,
uae_mr_kumar,MR Kumar,United Arab Emirates,Batsman,
