id,name,country,primaryRole,image_url
usa_md_patel,MD Patel,United States of America,WK-Bat,
usa_sn_netravalkar,SN Netravalkar,United States of America,Fast Bowler,
usa_aaron_jones,Aaron Jones,United States of America,Batsman,
usa_np_kenjige,NP Kenjige,United States of America,Fast Bowler,
usa_sr_taylor,SR Taylor,United States of America,Fast Bowler,
usa_jasdeep_singh,Jasdeep Singh,United States of America,Fast Bowler,
usa_hr_walsh,HR Walsh,United States of America,Fast Bowler,
usa_nk_patel,NK Patel,United States of America,Fast Bowler,
usa_sr_mukkamalla,SR Mukkamalla,United States of America,Batsman,
usa_shayan_jahangir,Shayan Jahangir,United States of America,WK-Bat,
usa_g_singh,G Singh,United States of America,Batsman,
usa_harmeet_singh,Harmeet Singh,United States of America,Fast Bowler,
usa_j_theron,J Theron,United States of America,Fast Bowler,
usa_milind_kumar,Milind Kumar,United States of America,Fast Bowler,
usa_ags_gous,AGS Gous,United States of America,Batsman,
usa_sj_modani,SJ Modani,United States of America,Batsman,
usa_ali_khan,Ali Khan,United States of America,Fast Bowler,
usa_js_malhotra,JS Malhotra,United States of America,WK-Bat,
usa_sc_van_schalkwyk,SC van Schalkwyk,United States of America,Fast Bowler,
usa_sp_krishnamurthi,SP Krishnamurthi,United States of America,Batsman,
usa_s_sohal,S Sohal,United States of America,Batsman,
usa_cah_stevenson,CAH Stevenson,United States of America,Fast Bowler,
usa_sk_patel,SK Patel,United States of America,WK-Bat,
usa_k_gore,K Gore,United States of America,Fast Bowler,
usa_ig_holland,IG Holland,United States of America,Fast Bowler,
usa_yasir_mohammad,Yasir Mohammad,United States of America,Fast Bowler,
usa_j_drysdale,J Drysdale,United States of America,Batsman,
usa_tk_patel,TK Patel,United States of America,Batsman,
usa_eh_hutchinson,EH Hutchinson,United States of America,Batsman,
usa_aa_paradkar,AA Paradkar,United States of America,Batsman,
usa_akshay_homraj,Akshay Homraj,United States of America,Batsman,
usa_mo_kain,MO Kain,United States of America,Batsman,
usa_ali_sheikh,Ali Sheikh,United States of America,Batsman,
usa_shubham_ranjane,Shubham Ranjane,United States of America,Batsman,
usa_rm_jariwala,RM Jariwala,United States of America,Batsman,
usa_tp_allen,TP Allen,United States of America,Batsman,
