id,name,country,primaryRole,image_url
unk_j_rasu,J Rasu,Vanuatu,Fast Bowler,
unk_n_nipiko,N Nipiko,Vanuatu,Fast Bowler,
unk_r_tari,R Tari,Vanuatu,Batsman,
unk_a_mansale,A Mansale,Vanuatu,Batsman,
unk_w_nalisa,W Nalisa,Vanuatu,Fast Bowler,
unk_jp_kaltapau,JP Kaltapau,Vanuatu,Batsman,
unk_pk_matautaava,PK Matautaava,Vanuatu,Batsman,
unk_sh_obed,SH Obed,Vanuatu,Batsman,
unk_j_vira,J Vira,Vanuatu,Batsman,
unk_c_tommy,C Tommy,Vanuatu,Batsman,
unk_d_wotu,D Wotu,Vanuatu,Batsman,
unk_al_stephen,AL Stephen,Vanuatu,Batsman,
unk_jd_allan,JD Allan,Vanuatu,WK-Bat,
unk_w_wotu,W Wotu,Vanuatu,Batsman,
unk_tl_cutler,TL Cutler,Vanuatu,Batsman,
unk_jw_chilia,JW Chilia,Vanuatu,Batsman,
unk_w_viraliliu,W Viraliliu,Vanuatu,Batsman,
unk_obed_yosef,Obed Yosef,Vanuatu,Batsman,
