id,name,country,primaryRole,image_url
wi_chris_gayle,Chris Gayle,West Indies,All-Rounder,
wi_dwayne_bravo,Dwayne Bravo,West Indies,All-Rounder,
wi_kieron_pollard,Kieron Pollard,West Indies,All-Rounder,
wi_jason_holder,Jason Holder,West Indies,Fast Bowler,
wi_sunil_narine,Sunil Narine,West Indies,Spin Bowler,
wi_marlon_samuels,Marlon Samuels,West Indies,All-Rounder,
wi_andre_russell,Andre Russell,West Indies,Fast Bowler,
wi_denesh_ramdin,Denesh Ramdin,West Indies,WK-Bat,
wi_shai_hope,Shai Hope,West Indies,WK-Bat,
wi_nicholas_pooran,Nicholas Pooran,West Indies,WK-Bat,
wi_darren_sammy,Darren Sammy,West Indies,All-Rounder,
wi_shimron_hetmyer,Shimron Hetmyer,West Indies,Batsman,
wi_shivnarine_chanderpaul,Shivnarine Chanderpaul,West Indies,Batsman,
wi_dwayne_smith,Dwayne Smith,West Indies,Fast Bowler,
wi_darren_bravo,Darren Bravo,West Indies,Batsman,
wi_kemar_roach,Kemar Roach,West Indies,Fast Bowler,
wi_rovman_powell,Rovman Powell,West Indies,Batsman,
wi_alzarri_joseph,Alzarri Joseph,West Indies,Fast Bowler,
wi_ramnaresh_sarwan,Ramnaresh Sarwan,West Indies,Batsman,
wi_roston_chase,Roston Chase,West Indies,All-Rounder,
wi_lendl_simmons,Lendl Simmons,West Indies,Batsman,
wi_jerome_taylor,Jerome Taylor,West Indies,Fast Bowler,
wi_e_lewis,E Lewis,West Indies,Batsman,
wi_r_rampaul,R Rampaul,West Indies,Fast Bowler,
wi_ba_king,BA King,West Indies,Batsman,
wi_r_shepherd,R Shepherd,West Indies,Fast Bowler,
wi_aj_hosein,AJ Hosein,West Indies,Fast Bowler,
wi_j_charles,J Charles,West Indies,WK-Bat,
wi_fh_edwards,FH Edwards,West Indies,Fast Bowler,
wi_kc_brathwaite,KC Brathwaite,West Indies,Batsman,
wi_kr_mayers,KR Mayers,West Indies,Fast Bowler,
wi_cr_brathwaite,CR Brathwaite,West Indies,Fast Bowler,
wi_sj_benn,SJ Benn,West Indies,Fast Bowler,
wi_se_rutherford,SE Rutherford,West Indies,Batsman,
wi_bc_lara,BC Lara,West Indies,Batsman,
wi_koa_powell,KOA Powell,West Indies,Batsman,
wi_g_motie,G Motie,West Indies,Fast Bowler,
wi_d_bishoo,D Bishoo,West Indies,Fast Bowler,
wi_st_gabriel,ST Gabriel,West Indies,Fast Bowler,
wi_ss_cottrell,SS Cottrell,West Indies,Fast Bowler,
wi_ads_fletcher,ADS Fletcher,West Indies,WK-Bat,
wi_ds_smith,DS Smith,West Indies,Batsman,
