id,name,country,primaryRole,image_url
unk_jakir_patel,Jakir Patel,Zambia,Batsman,
unk_jv_chand,JV Chand,Zambia,Batsman,
unk_muhammad_asim_2,Muhammad Asim,Zambia,Batsman,
unk_ayaz_dadabhai,Ayaz Dadabhai,Zambia,Batsman,
unk_javid_patel,Javid Patel,Zambia,Batsman,
unk_soyeb_pendi,Soyeb Pendi,Zambia,Batsman,
unk_aslam_bera,Aslam Bera,Zambia,Batsman,
unk_shahnawaz_patel,Shahnawaz Patel,Zambia,Batsman,
unk_m_yambayamba,M Yambayamba,Zambia,WK-Bat,
unk_mohammad_bhaidu,Mohammad Bhaidu,Zambia,Batsman,
unk_mohmedazim_abbasbhai,Mohmedazim Abbasbhai,Zambia,Batsman,
unk_salman_patel,Salman Patel,Zambia,Batsman,
