id,name,country,primaryRole,image_url
zim_sikandar_raza,Sikandar Raza,Zimbabwe,All-Rounder,
zim_brendan_taylor,Brendan Taylor,Zimbabwe,WK-Bat,
zim_hamilton_masakadza,Hamilton Masakadza,Zimbabwe,Batsman,
zim_sean_williams,Sean Williams,Zimbabwe,All-Rounder,
zim_elton_chigumbura,Elton Chigumbura,Zimbabwe,All-Rounder,
zim_craig_ervine,Craig Ervine,Zimbabwe,Batsman,
zim_prosper_utseya,Prosper Utseya,Zimbabwe,Fast Bowler,
zim_r_ngarava,R Ngarava,Zimbabwe,Fast Bowler,
zim_rp_burl,RP Burl,Zimbabwe,Fast Bowler,
zim_v_sibanda,V Sibanda,Zimbabwe,Batsman,
zim_b_muzarabani,B Muzarabani,Zimbabwe,Fast Bowler,
zim_t_taibu,T Taibu,Zimbabwe,WK-Bat,
zim_tl_chatara,TL Chatara,Zimbabwe,Fast Bowler,
zim_cj_chibhabha,CJ Chibhabha,Zimbabwe,Fast Bowler,
zim_rw_chakabva,RW Chakabva,Zimbabwe,WK-Bat,
zim_w_madhevere,W Madhevere,Zimbabwe,Fast Bowler,
zim_ag_cremer,AG Cremer,Zimbabwe,Fast Bowler,
zim_wp_masakadza,WP Masakadza,Zimbabwe,Fast Bowler,
zim_cb_mpofu,CB Mpofu,Zimbabwe,Fast Bowler,
zim_rw_price,RW Price,Zimbabwe,Fast Bowler,
zim_lm_jongwe,LM Jongwe,Zimbabwe,Fast Bowler,
zim_mn_waller,MN Waller,Zimbabwe,Batsman,
zim_s_matsikenyeri,S Matsikenyeri,Zimbabwe,Batsman,
zim_t_marumani,T Marumani,Zimbabwe,WK-Bat,
zim_km_jarvis,KM Jarvis,Zimbabwe,Fast Bowler,
zim_t_panyangara,T Panyangara,Zimbabwe,Fast Bowler,
zim_pj_moor,PJ Moor,Zimbabwe,Batsman,
zim_bj_bennett,BJ Bennett,Zimbabwe,Batsman,
zim_dt_tiripano,DT Tiripano,Zimbabwe,Fast Bowler,
zim_c_madande,C Madande,Zimbabwe,Batsman,
zim_r_mutumbami,R Mutumbami,Zimbabwe,WK-Bat,
zim_t_munyonga,T Munyonga,Zimbabwe,Batsman,
zim_sf_mire,SF Mire,Zimbabwe,Batsman,
zim_b_evans,B Evans,Zimbabwe,Fast Bowler,
zim_dd_ebrahim,DD Ebrahim,Zimbabwe,Batsman,
zim_ck_coventry,CK Coventry,Zimbabwe,Batsman,
zim_hh_streak,HH Streak,Zimbabwe,Fast Bowler,
zim_m_shumba,M Shumba,Zimbabwe,Batsman,
zim_am_blignaut,AM Blignaut,Zimbabwe,Fast Bowler,
zim_d_myers,D Myers,Zimbabwe,Batsman,
zim_t_musekiwa,T Musekiwa,Zimbabwe,Batsman,
zim_bv_vitori,BV Vitori,Zimbabwe,Fast Bowler,
zim_i_kaia,I Kaia,Zimbabwe,Batsman,
zim_ma_vermeulen,MA Vermeulen,Zimbabwe,Batsman,
zim_t_maruma,T Maruma,Zimbabwe,Batsman,
zim_dt_hondo,DT Hondo,Zimbabwe,Fast Bowler,
zim_km_dabengwa,KM Dabengwa,Zimbabwe,Batsman,
zim_t_mupariwa,T Mupariwa,Zimbabwe,Fast Bowler,
zim_b_mavuta,B Mavuta,Zimbabwe,Fast Bowler,
zim_t_gwandu,T Gwandu,Zimbabwe,Fast Bowler,
zim_ts_chisoro,TS Chisoro,Zimbabwe,Fast Bowler,
zim_gb_brent,GB Brent,Zimbabwe,Fast Bowler,
zim_d_jakiel,D Jakiel,Zimbabwe,Fast Bowler,
zim_sw_masakadza,SW Masakadza,Zimbabwe,Fast Bowler,
zim_bb_chari,BB Chari,Zimbabwe,Batsman,
zim_ts_kamunhukamwe,TS Kamunhukamwe,Zimbabwe,Batsman,
zim_ec_rainsford,EC Rainsford,Zimbabwe,Batsman,
zim_gw_flower,GW Flower,Zimbabwe,Batsman,
zim_ct_mutombodzi,CT Mutombodzi,Zimbabwe,Batsman,
zim_sm_ervine,SM Ervine,Zimbabwe,Fast Bowler,
zim_j_nyumbu,J Nyumbu,Zimbabwe,Fast Bowler,
zim_ga_lamb,GA Lamb,Zimbabwe,Batsman,
zim_vm_nyauchi,VM Nyauchi,Zimbabwe,Fast Bowler,
zim_tk_musakanda,TK Musakanda,Zimbabwe,Batsman,
zim_cb_wishart,CB Wishart,Zimbabwe,Batsman,
zim_n_madziva,N Madziva,Zimbabwe,Fast Bowler,
zim_ct_mumba,CT Mumba,Zimbabwe,Fast Bowler,
zim_j_gumbie,J Gumbie,Zimbabwe,Batsman,
zim_tmk_mawoyo,TMK Mawoyo,Zimbabwe,Batsman,
zim_j_campbell,J Campbell,Zimbabwe,Batsman,
zim_tt_maposa,TT Maposa,Zimbabwe,Batsman,
zim_f_mutizwa,F Mutizwa,Zimbabwe,Batsman,
zim_t_kamungozi,T Kamungozi,Zimbabwe,Batsman,
zim_nb_mahwire,NB Mahwire,Zimbabwe,Batsman,
zim_t_kaitano,T Kaitano,Zimbabwe,Batsman,
zim_tl_chivanga,TL Chivanga,Zimbabwe,Batsman,
zim_nr_welch,NR Welch,Zimbabwe,Batsman,
zim_t_muzarabani,T Muzarabani,Zimbabwe,Batsman,
zim_aj_ireland,AJ Ireland,Zimbabwe,Batsman,
zim_ko_meth,KO Meth,Zimbabwe,Batsman,
zim_sv_carlisle,SV Carlisle,Zimbabwe,Batsman,
zim_c_zhuwao,C Zhuwao,Zimbabwe,Batsman,
zim_gm_strydom,GM Strydom,Zimbabwe,Batsman,
zim_da_marillier,DA Marillier,Zimbabwe,Batsman,
zim_n_m_shangwe,N M'shangwe,Zimbabwe,Batsman,
zim_a_ndlovu,A Ndlovu,Zimbabwe,Batsman,
zim_m_faraz_akram,M Faraz Akram,Zimbabwe,Batsman,
zim_ml_nkala,ML Nkala,Zimbabwe,Batsman,
zim_ps_masvaure,PS Masvaure,Zimbabwe,Batsman,
zim_bg_rogers,BG Rogers,Zimbabwe,Batsman,
zim_t_duffin,T Duffin,Zimbabwe,Batsman,
zim_bj_curran,BJ Curran,Zimbabwe,Batsman,
zim_gm_ewing,GM Ewing,Zimbabwe,Batsman,
zim_te_tsiga,TE Tsiga,Zimbabwe,Batsman,
zim_hp_rinke,HP Rinke,Zimbabwe,Batsman,
zim_a_maregwede,A Maregwede,Zimbabwe,Batsman,
zim_a_flower,A Flower,Zimbabwe,Batsman,
zim_tj_friend,TJ Friend,Zimbabwe,Batsman,
zim_gj_whittall,GJ Whittall,Zimbabwe,Batsman,
zim_kt_kasuza,KT Kasuza,Zimbabwe,Batsman,
zim_tr_gripper,TR Gripper,Zimbabwe,Batsman,
zim_r_murray,R Murray,Zimbabwe,Batsman,
zim_ba_murphy,BA Murphy,Zimbabwe,Batsman,
zim_r_mupfudza,R Mupfudza,Zimbabwe,Batsman,
zim_o_muzondo,O Muzondo,Zimbabwe,Batsman,
zim_wt_mubayiwa,WT Mubayiwa,Zimbabwe,Batsman,
